Geneid	SRR14267546	SRR14267547	SRR14267548	SRR14267549	SRR14267550	SRR14267551	SRR14267552	SRR14267553	SRR14267554	SRR14267555	SRR14267556	SRR14267557	SRR14267558	SRR14267559	SRR14267560	SRR14267561	SRR14267562	SRR14267563	SRR14267564	SRR14267565	SRR14267566
H2AFJ	372	513	551	311	789	590	854	393	479	613	445	639	643	655	536	704	272	104	579	516	749
WBP11	453	545	860	562	782	1085	699	440	634	664	559	729	820	641	426	461	227	69	493	449	774
C12orf60	25	14	12	14	71	32	50	7	19	24	25	30	18	9	0	12	11	0	4	29	20
SMCO3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ART4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
AC007655.1	0	0	0	1	0	2	0	0	0	1	2	0	3	3	0	0	0	0	0	0	5
MGP	0	7	1	7	0	6	4	5	7	3	1	8	7	1	10	1	7	1	0	3	2
ERP27	4	49	31	16	14	37	50	22	14	19	30	3	16	19	25	2	5	0	31	19	11
ARHGDIB	433	1656	1542	534	543	2727	1204	994	451	679	1263	691	945	496	944	315	112	43	311	702	622
PDE6H	0	0	0	3	0	6	0	0	0	6	8	7	0	0	7	0	0	0	0	0	6
LINC01489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RERG	44	14	58	37	221	143	141	17	246	313	37	244	103	59	10	124	63	24	116	99	400
RERG-IT1	0	0	0	0	4	4	3	0	4	11	0	12	6	3	0	15	0	2	0	0	5
RERG-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METTL8P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRO	23	36	34	20	10	35	8	24	0	16	21	1	2	10	17	1	6	0	7	0	5
AC092183.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPS8	814	615	2221	1990	677	999	1411	688	1972	426	3034	1340	2975	1542	1339	897	428	231	1138	1285	1649
RNU6-251P	0	0	2	3	1	5	5	2	10	2	9	16	11	7	1	0	0	0	0	0	0
AC073651.1	0	2	0	0	0	0	0	0	2	0	2	0	1	2	0	0	8	0	6	3	0
AC073651.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC073651.3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
STRAP	488	451	585	483	566	591	640	399	476	576	573	631	642	480	556	377	181	74	557	551	813
DERA	171	167	338	254	218	258	322	124	217	217	236	230	306	215	210	157	72	34	177	335	279
EGLN3P1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
SLC15A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MGST1	333	85	196	134	364	346	516	167	284	663	315	516	654	380	164	214	133	64	207	230	1100
SUPT16HP1	0	0	2	0	0	0	0	0	0	2	4	1	3	1	0	8	1	0	0	0	0
AC007552.1	20	0	9	0	8	5	21	17	8	3	5	18	12	5	0	15	0	2	5	22	20
LMO3	4	0	0	0	3	1	3	1	2	10	0	7	6	6	0	11	4	0	0	12	50
AC007552.2	24	0	0	0	1	5	21	12	13	3	3	14	13	0	1	5	0	2	25	12	10
AC007529.2	1	0	3	0	11	1	1	1	10	1	0	1	1	4	0	0	3	0	0	25	14
AC007529.1	0	0	0	0	0	0	0	5	3	1	0	3	4	0	0	10	0	2	0	3	2
AC023512.1	1	0	1	0	0	1	8	0	0	1	0	0	0	0	0	0	0	0	0	8	1
EEF1A1P16	0	1	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	8
RNU6-837P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL7P40	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
PSMC1P8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIMM17BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
AC087321.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RERGL	0	0	8	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PIK3C2G	0	0	1	2	12	0	1	0	0	4	0	12	3	6	0	0	0	0	3	1	4
NDFIP1P1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC092851.1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZKSCAN7P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLCZ1	0	0	0	0	0	0	9	0	0	0	0	2	0	3	0	0	0	0	0	1	0
PSMC1P9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC087242.1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPZA3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
RPL7P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEF2BNBP1	3	10	0	1	0	2	1	4	8	2	0	5	0	2	0	0	0	1	0	0	3
PLEKHA5	1723	595	2026	990	2573	1467	1527	495	1473	2052	706	2226	1982	1911	443	1697	898	342	1328	1346	2176
AC092828.1	413	111	434	305	729	389	608	120	421	615	208	446	330	413	196	612	330	81	302	662	665
RN7SL459P	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL67P	35	15	26	2	32	28	41	6	23	26	8	40	29	43	0	27	12	4	0	8	18
AEBP2	443	441	714	570	755	585	851	282	461	435	512	514	671	534	365	426	265	124	649	610	632
PDCD5P1	0	2	0	0	5	0	0	0	0	0	0	1	0	3	0	4	0	0	0	2	0
AC091805.2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0
RNU6-254P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1A1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
AC091805.1	6	2	10	9	6	12	10	0	0	10	5	0	15	9	7	0	4	2	0	18	29
RNU1-146P	10	0	7	6	9	3	7	1	0	2	2	0	1	1	0	8	4	1	4	16	8
AC024901.1	3	1	14	20	8	1	17	0	16	7	14	14	6	3	5	4	9	1	26	6	13
TCP1P3	0	0	1	0	3	3	0	0	6	0	1	2	2	1	0	0	0	0	0	0	0
LINC02398	10	6	3	0	0	0	0	1	1	0	2	4	0	0	0	0	0	0	0	0	3
LINC02468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC129102.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PDE3A	0	0	1	8	7	9	0	9	5	3	0	0	11	19	0	0	11	0	15	0	22
UBE2L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC112777.1	3	0	3	0	0	4	0	0	0	0	1	4	1	0	1	0	0	0	0	0	0
SLCO1C1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLCO1B3	10	0	19	7	10	6	2	11	6	63	23	29	38	2	52	34	2	12	47	43	30
AC011604.2	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0
AC011604.1	0	0	5	4	0	0	3	0	0	3	0	0	0	0	6	0	0	1	0	0	0
SLCO1B7	0	0	2	3	0	4	0	0	0	7	0	2	0	0	0	0	5	0	0	0	4
AC022335.1	14	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2
SLCO1B1	6	0	0	6	0	1	0	0	0	3	0	0	5	0	2	1	0	0	16	0	1
SLCO1A2	0	0	0	0	532	0	0	0	0	48	0	1	0	0	0	0	0	0	0	0	2
IAPP	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PYROXD1	152	179	267	241	229	307	343	119	151	212	257	201	257	152	111	145	113	17	199	281	248
ELOCP31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RECQL	344	246	461	248	301	536	370	197	173	298	368	217	327	236	131	222	103	23	219	215	276
GOLT1B	142	116	258	153	129	217	120	75	77	147	204	130	203	97	96	64	48	20	52	136	122
SPX	0	0	0	0	0	0	0	0	1	2	0	1	1	5	3	0	0	0	0	0	5
GYS2	0	1	9	0	8	2	6	0	2	1	4	5	1	6	15	0	6	2	16	0	2
LDHB	1138	1203	1741	816	2686	2071	1224	897	1071	1965	905	1791	1774	1612	1188	1352	818	162	1170	964	2475
AC010197.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010185.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNJ8	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2
ABCC9	15	0	5	11	45	23	0	10	6	53	0	2	10	15	2	18	8	0	0	0	121
AC008250.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008250.2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AC092862.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMAS	385	236	477	270	273	376	550	253	366	282	378	307	475	266	444	257	97	32	403	290	431
ST8SIA1	147	266	195	140	182	171	207	65	62	61	98	144	110	127	20	108	64	9	179	69	87
AC007671.1	0	0	0	5	6	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0
AC007671.2	0	5	0	0	3	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
RNU1-149P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC087318.1	19	32	23	38	24	11	17	2	5	7	8	27	16	16	7	42	20	2	71	4	16
C2CD5	808	890	1266	730	1370	1006	1161	478	883	976	457	955	1009	868	486	846	532	191	619	812	1073
AC053513.1	5	11	31	7	37	16	20	7	8	38	12	19	24	17	11	25	13	1	12	24	19
LRRC34P1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
AC087241.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC087241.1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0
AC087241.3	0	0	4	0	6	8	3	2	1	0	1	5	0	11	0	8	0	0	4	7	0
ETNK1	1136	719	1602	843	1509	1250	1131	516	565	729	864	934	875	840	473	736	539	158	770	797	924
AC087241.4	0	0	16	9	16	17	2	9	6	20	8	23	30	4	13	6	0	3	16	0	4
AC084816.1	226	288	304	102	623	372	718	54	680	763	108	834	603	480	128	493	187	63	533	636	1224
RPS27P22	20	23	9	11	19	20	29	3	30	55	1	40	24	8	3	34	14	0	14	24	46
AC084819.1	25	35	34	9	65	52	121	11	70	76	6	86	65	72	19	58	8	2	14	48	164
AC087258.1	67	49	45	11	106	53	59	4	85	142	15	119	121	72	10	33	29	5	63	38	220
AC087258.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC087235.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX5	161	297	251	48	289	299	203	145	306	104	62	286	339	245	36	199	185	74	190	34	175
AC087260.1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MIR920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC069208.1	104	144	185	34	170	140	110	91	168	71	33	131	143	150	37	144	96	28	97	107	107
SOX5-AS1	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0
LINC00477	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0
KNOP1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC087312.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC023796.1	15	0	0	0	6	2	0	0	1	0	1	8	0	13	0	0	8	0	0	0	0
RN7SL38P	0	0	0	0	0	1	0	0	0	0	10	0	0	3	0	0	0	0	0	0	0
BCAT1	49	443	181	229	49	316	165	274	223	538	580	86	362	183	2483	242	46	32	378	454	549
AC023796.2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0
AC026310.3	0	9	3	3	1	33	9	11	1	70	53	12	6	3	23	22	3	4	0	0	29
AC026310.2	3	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	2
AC026310.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C12orf77	0	0	1	7	0	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
LRMP	48	629	209	68	59	625	166	418	59	58	135	84	102	289	187	76	96	2	91	57	44
CENPUP2	114	6	36	52	20	34	52	11	15	35	8	40	33	36	0	29	34	11	43	42	47
AC023510.1	68	10	37	10	25	34	46	8	9	33	2	29	30	9	1	29	9	6	8	16	24
AC023510.2	27	8	27	19	29	17	30	4	12	10	4	11	24	7	0	21	2	0	0	8	18
CASC1	1198	723	1315	728	1121	806	951	524	459	363	488	753	952	631	204	710	603	146	693	443	562
ETFRF1	37	35	92	58	66	93	61	25	70	68	66	54	93	61	76	102	18	12	91	88	75
KRAS	417	400	626	530	466	758	727	272	531	595	770	604	792	382	510	410	174	78	461	511	828
AC092794.1	0	0	3	5	0	2	1	1	4	0	0	0	0	2	0	0	0	0	10	3	0
AC092794.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC087239.1	100	202	141	70	138	346	175	75	117	101	166	101	118	113	158	205	41	34	97	94	28
RNU4-67P	0	0	2	2	7	0	3	0	1	0	4	0	4	0	0	0	0	2	0	6	0
AC092451.1	0	0	0	0	1	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0
LMNTD1	614	335	756	425	726	487	534	198	340	241	175	540	523	411	65	497	344	109	378	107	315
AC092451.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC092451.2	38	5	38	31	31	12	24	8	10	12	9	11	3	18	0	24	25	5	8	10	7
TUBB4BP1	11	5	17	2	18	0	0	3	5	8	2	4	0	0	0	3	0	0	7	0	14
AC022367.1	135	80	87	62	162	101	138	38	97	33	43	175	106	61	19	127	77	22	98	41	110
RN7SKP262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC019209.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDGP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
AC019209.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4302	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC019209.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RASSF8-AS1	79	46	53	56	142	54	48	15	18	98	22	129	61	39	34	47	36	18	43	37	65
RASSF8	94	74	134	172	237	107	106	45	46	413	100	144	100	92	178	79	67	31	78	105	242
BHLHE41	202	303	224	93	368	211	510	140	133	240	64	384	636	545	289	401	120	173	465	232	479
SSPN	25	36	55	18	80	38	74	22	31	102	31	72	141	80	12	68	25	13	66	65	144
AC022509.3	0	0	12	21	23	6	28	1	19	14	0	34	26	38	16	17	6	9	22	1	46
AC022509.2	0	0	1	0	0	1	0	0	0	5	0	0	1	4	0	0	3	0	4	0	0
AC022509.1	0	0	1	0	0	1	0	0	5	1	3	12	0	8	0	0	0	0	18	0	5
AC022509.4	0	4	4	3	2	6	5	0	3	2	1	7	0	0	10	1	0	0	0	0	0
AC055720.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC024145.1	2	0	3	0	11	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0	0
AC055720.2	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ITPR2	700	1243	930	551	861	1861	1084	748	187	1111	1586	358	399	769	949	370	136	36	401	510	483
RNA5SP354	0	0	3	0	0	3	0	0	0	3	3	0	0	3	0	0	0	0	4	3	0
AC023051.1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC023051.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INTS13	134	82	270	141	185	206	214	77	144	139	133	114	194	120	96	125	61	23	148	141	197
FGFR1OP2	171	299	422	241	336	417	340	191	145	305	383	166	244	171	202	199	120	36	279	372	367
AC024896.1	5	0	0	0	1	3	3	0	0	0	0	0	0	2	0	4	0	0	0	21	2
TM7SF3	568	285	657	369	521	558	688	382	526	480	393	488	616	464	221	306	272	58	331	426	553
MED21	141	115	264	150	204	250	196	97	170	190	215	206	232	133	218	176	73	41	185	195	262
AC092747.4	28	43	78	55	61	76	38	44	49	48	47	48	68	47	47	32	22	13	35	58	102
C12orf71	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC092747.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC092747.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC092747.2	8	24	32	27	26	23	63	26	12	13	27	14	32	1	5	14	15	7	73	55	26
STK38L	226	322	418	329	288	369	478	163	288	354	817	297	442	272	552	333	76	69	194	417	509
ARNTL2	274	766	528	510	131	597	362	335	826	422	1145	518	766	399	648	259	111	111	536	545	761
ARNTL2-AS1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	9	0	0
SMCO2	0	4	8	13	0	13	17	11	7	4	57	7	10	30	21	0	0	2	2	14	13
RARSP1	0	0	0	0	0	0	0	1	1	0	6	0	0	0	0	0	0	0	0	0	3
PPFIBP1	294	212	232	259	648	287	536	121	409	677	315	449	479	262	159	346	100	75	259	650	758
AC087257.1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0
AC087257.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009509.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009509.1	0	0	0	17	0	0	3	0	0	1	0	0	0	5	0	0	1	0	0	0	0
REP15	0	0	0	2	0	0	0	0	1	13	3	0	0	2	0	1	4	0	5	2	3
AC009509.4	0	0	0	0	2	0	0	0	3	3	3	1	10	1	0	0	0	0	0	0	0
HMGB1P49	0	0	0	0	0	2	0	0	2	2	0	2	5	13	0	0	0	0	0	0	12
AC009509.2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
MRPS35	234	187	298	162	317	206	305	199	218	232	217	222	366	171	145	115	144	19	110	154	281
MANSC4	0	0	2	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
AC009511.2	0	0	0	0	3	0	0	11	3	4	2	8	0	1	0	0	0	0	0	3	0
KLHL42	268	292	294	189	346	236	502	200	229	438	202	297	265	185	253	137	68	30	186	464	412
AC009511.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008011.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTHLH	7	14	10	14	33	9	3	19	12	185	30	21	8	8	3	3	5	2	8	0	10
AC008011.2	0	14	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
CCDC91	373	401	657	359	459	718	447	207	344	307	355	383	529	383	242	266	194	66	331	282	283
AC022364.1	83	70	130	59	74	39	88	26	46	43	25	74	45	37	18	48	45	13	45	93	45
AC022364.2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
AC022079.2	14	0	7	0	12	3	12	7	2	2	4	11	3	12	1	2	10	0	0	9	13
AC022079.1	3	8	2	7	7	12	2	1	1	7	8	6	5	4	6	1	6	0	2	3	7
RNU4-54P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP355	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AC084754.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC022081.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC024255.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012150.1	0	0	4	0	0	0	0	0	7	7	2	5	0	1	0	0	0	2	1	0	0
FAR2	368	290	505	376	284	310	543	192	428	120	500	283	345	207	167	179	62	36	249	271	247
AC012150.2	0	0	0	7	0	2	4	0	1	0	0	6	1	0	0	0	3	0	5	6	2
AC009318.4	6	5	6	3	8	4	0	0	12	5	0	4	1	3	2	0	2	1	0	1	4
AC009318.1	95	54	57	39	92	109	112	30	91	89	55	95	130	52	41	117	26	29	105	70	165
AC009318.3	22	8	8	0	19	20	27	6	6	15	7	15	8	3	4	9	16	2	20	16	13
AC009318.2	10	12	10	9	31	19	7	5	15	19	9	15	22	3	10	23	0	1	16	25	16
ERGIC2	299	361	490	302	421	417	459	232	325	381	362	316	459	238	183	220	165	51	359	329	483
OVCH1-AS1	1	23	0	8	0	12	25	1	6	15	10	3	2	7	0	6	1	1	0	0	2
OVCH1	7	3	5	13	13	0	0	4	7	8	8	17	14	6	2	30	5	6	2	0	4
TMTC1	265	121	264	514	596	154	210	55	183	563	491	495	514	97	208	319	122	57	552	170	842
AC009320.1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL21P99	0	0	4	2	2	6	0	0	6	4	10	6	9	2	0	4	0	1	12	3	4
AC023511.2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AC023511.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02386	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC078776.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
RNA5SP356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC078776.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AC026371.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
IPO8	580	454	783	412	740	728	810	325	442	704	442	504	765	528	357	494	201	84	383	544	895
CAPRIN2	322	409	392	207	618	547	273	146	303	260	276	416	302	237	91	340	101	46	250	322	441
AC010198.1	0	0	3	0	29	0	23	0	5	1	1	0	5	1	0	24	0	0	0	25	0
LINC00941	0	0	0	0	0	0	0	0	2	4	17	7	0	0	0	0	0	1	0	0	0
AC010198.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPAN11	48	126	276	7	919	271	55	32	183	59	5	514	83	743	8	236	272	46	184	51	35
AC008013.1	40	0	15	13	43	12	41	3	21	12	4	42	34	7	3	30	19	10	45	36	68
AC008013.2	0	0	0	0	0	0	0	0	3	0	0	7	0	7	0	0	0	0	0	0	1
DDX11-AS1	28	5	9	12	31	15	48	0	10	26	6	16	18	14	5	2	5	6	8	38	46
DDX11	772	534	321	512	1487	705	463	371	841	732	457	338	803	605	88	911	172	131	540	386	937
AC008013.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC024940.1	0	19	11	37	11	82	0	0	17	10	16	7	19	30	3	11	7	3	11	2	13
AC024940.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AC024940.2	0	12	1	1	1	3	5	0	10	0	0	7	0	16	6	0	0	0	1	0	2
MREGP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0
AC024940.5	0	0	9	0	0	0	3	0	0	0	2	0	1	2	0	0	0	0	2	0	0
FAM60A	521	384	926	675	973	932	718	512	574	669	601	693	943	914	499	552	282	109	620	391	760
AC024940.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
FLJ13224	15	21	16	16	36	50	43	29	61	46	21	104	52	41	24	51	5	13	11	7	2
LINC02387	0	0	0	0	0	0	0	0	0	2	2	0	0	6	0	9	0	0	1	0	0
DENND5B	73	244	81	94	145	130	112	101	40	72	80	56	43	128	32	57	42	13	68	18	89
RNU6-618P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC068792.1	0	5	0	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC022080.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC022080.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC022080.2	0	5	2	2	2	8	5	3	2	1	2	4	4	3	0	4	2	0	0	0	0
DENND5B-AS1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
RNU5F-4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL31P50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK4P3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ETFBKMT	109	41	135	144	162	117	110	46	49	70	75	76	115	74	16	102	70	18	98	68	147
AMN1	91	53	77	37	80	80	133	22	31	57	50	46	70	34	102	10	25	12	58	33	44
STMN1P1	0	0	2	0	10	0	8	1	8	15	4	3	0	3	15	7	7	2	0	19	0
AC023157.3	73	144	85	73	113	271	224	113	120	251	331	186	60	176	680	186	41	19	134	212	72
AC023157.2	0	0	0	3	0	1	12	0	2	9	5	0	0	3	1	2	0	0	0	0	0
AC023157.1	0	0	0	0	5	3	0	0	2	0	0	0	1	7	0	0	0	0	0	0	0
H3F3C	0	1	2	7	0	3	6	6	3	1	9	0	3	2	1	2	5	0	1	1	1
RNU6-1069P	0	0	0	0	0	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0
AC023050.2	0	4	0	0	0	1	0	1	0	1	0	0	0	4	0	0	3	0	0	0	4
LINC02422	0	13	6	21	5	7	12	7	4	1	20	0	21	0	0	0	0	0	0	9	4
AC023050.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC023050.1	0	10	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
RPL12P32	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC023050.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1551	1191	2039	2801	2298	1137	2409	2103	1274	1278	1668	4330	879	2193	655	1463	942	343	266	1012	2438	1793
AC016957.2	36	45	24	40	73	39	124	47	46	39	114	33	29	20	46	36	7	9	43	90	44
AC016957.1	6	2	3	7	0	1	5	0	0	6	13	3	10	7	12	0	0	1	0	0	2
AC048344.2	0	0	4	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0
AC048344.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
